Serial number,23J127,,,,,,,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,,,,,,,
Certificate number,20210125-23J127-00,,,,,,,,,,,,,,,,,,
Calibration organization,Renishaw plc,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
AirPressure,,,,,,,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,,,,,,,
Model,AirPressure,,,,,,,,,,,,,,,,,,
Serial number,23J081,,,,,,,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,,,,,,,
Certificate number,20210125-23J081-00,,,,,,,,,,,,,,,,,,
Calibration organization,Renishaw plc,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
MaterialTemperature1,,,,,,,,,,,,,,,,,,,
Manufacturer,Renishaw plc,,,,,,,,,,,,,,,,,,
Model,MaterialTemperature1,,,,,,,,,,,,,,,,,,
Serial number,23H984,,,,,,,,,,,,,,,,,,
Calibration date,1/25/2021 0:00,,,,,,,,,,,,,,,,,,
Certificate number,20210125-23H984-00,,,,,,,,,,,,,,,,,,
Calibration organization,Renishaw plc,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sensor,Start reading,End reading,Min reading,Max reading,,,,,,,,,,,,,,,
Air temp [°C],24.1,23.9,23.9,24.1,,,,,,,,,,,,,,,
Air pressure [mbar],974.6,974.6,974.6,974.8,,,,,,,,,,,,,,,
Air humidity [%RH],57,58,57,58,,,,,,,,,,,,,,,
Material temp 1 [°C],24,24,24,24,,,,,,,,,,,,,,,
Material temp 2 [°C],Not recorded,Not recorded,,,,,,,,,,,,,,,,,
Material temp 3 [°C],Not recorded,Not recorded,,,,,,,,,,,,,,,,,
